ИД клиента;CustomerID;Дата
885199;148764;15.02.2017 09:46:14
885205;148739;13.02.2017 15:57:50
885222;148992;21.03.2017 15:13:42
885234;148780;17.02.2017 11:42:44
885259;148377;25.01.2017 15:24:01
885276;148818;24.02.2017 18:33:24
885300;148666;07.02.2017 16:48:05
885309;148961;14.03.2017 19:07:40
885332;34018;22.12.2012 21:20:51
885366;150100;06.04.2017 16:24:23
885416;150347;07.04.2017 17:02:19
885439;149061;28.03.2017 16:08:03
885503;150300;07.04.2017 14:40:48
885521;150571;08.04.2017 15:41:48
885535;151666;12.04.2017 22:17:55
885550;151144;10.04.2017 22:26:44
885570;151055;10.04.2017 16:22:19
885619;151170;11.04.2017 01:11:17
885628;151867;13.04.2017 18:30:07
885631;151593;12.04.2017 17:45:49
885640;151524;12.04.2017 13:37:22
885667;151835;13.04.2017 16:57:05
885722;152988;18.04.2017 13:45:02
885729;152077;14.04.2017 14:23:33
885731;153270;19.04.2017 13:47:06
885732;152489;16.04.2017 11:36:53
885745;152912;18.04.2017 00:35:04
885779;152661;17.04.2017 00:07:26
885828;152455;15.04.2017 22:42:15
885925;153557;20.04.2017 16:26:55
886019;154010;22.04.2017 18:57:55
886124;182058;08.07.2017 19:11:47
886168;181790;08.07.2017 11:00:04
886204;154527;25.04.2017 06:29:00
886220;155216;27.04.2017 21:06:27
886222;154503;24.04.2017 22:17:54
886233;155762;30.04.2017 14:12:39
886264;157853;10.05.2017 10:11:02
886277;154965;26.04.2017 22:28:51
886288;156055;01.05.2017 22:01:14
886315;157556;08.05.2017 18:49:13
886335;181936;08.07.2017 14:46:23
886375;156943;05.05.2017 17:01:19
886380;181696;07.07.2017 23:36:09
886406;155771;30.04.2017 14:42:53
886416;157120;06.05.2017 16:07:20
886442;154696;25.04.2017 22:04:51
886480;182010;08.07.2017 17:29:27
886494;156771;04.05.2017 22:51:21
886497;157258;07.05.2017 13:32:49
886509;157602;08.05.2017 22:43:07
886513;156025;01.05.2017 19:30:42
886613;182289;09.07.2017 12:47:31
886661;155404;28.04.2017 17:13:19
886708;156305;03.05.2017 11:08:19
886728;157204;07.05.2017 06:10:20
886767;157327;07.05.2017 17:57:59
886779;156810;05.05.2017 09:34:46
886785;156686;04.05.2017 16:15:08
886788;155752;30.04.2017 13:06:00
886806;156306;03.05.2017 11:11:58
886859;182935;10.07.2017 23:06:20
886920;155468;28.04.2017 21:43:20
886969;155678;29.04.2017 21:57:32
886992;157499;08.05.2017 15:05:45
887063;158839;13.05.2017 22:36:45
887102;160747;21.05.2017 09:21:08
887120;158625;12.05.2017 22:34:51
887130;158744;13.05.2017 15:31:04
887180;158561;12.05.2017 18:08:47
887220;161977;26.05.2017 11:50:09
887231;162071;26.05.2017 16:11:37
887285;183290;11.07.2017 22:22:43
887286;182950;10.07.2017 23:51:11
887289;158246;11.05.2017 16:37:40
887295;159666;17.05.2017 11:18:38
887335;162110;26.05.2017 18:24:32
887342;158279;11.05.2017 17:58:10
887343;161464;24.05.2017 11:55:02
887433;160698;20.05.2017 21:18:35
887482;159510;16.05.2017 18:21:21
887496;159735;17.05.2017 14:06:52
887498;160162;18.05.2017 19:40:35
887589;183082;11.07.2017 12:29:34
887599;182940;10.07.2017 23:16:43
887602;163163;30.05.2017 17:01:07
887616;161590;24.05.2017 22:06:41
887649;159419;16.05.2017 13:42:49
887675;163172;30.05.2017 17:24:12
887685;162732;28.05.2017 23:39:14
887701;161478;24.05.2017 13:33:46
887717;162085;26.05.2017 16:52:32
887772;161708;25.05.2017 13:40:28
887778;162115;26.05.2017 18:57:35
887802;159623;17.05.2017 08:45:24
887817;184088;13.07.2017 19:20:31
887823;163109;30.05.2017 13:54:54
887824;163458;31.05.2017 13:11:31
887829;161671;25.05.2017 11:44:02
887930;183445;12.07.2017 12:58:28
887936;164419;02.06.2017 16:18:24
888061;184011;13.07.2017 16:09:57
888078;163968;01.06.2017 15:22:04
888103;164283;02.06.2017 11:45:08
888160;164162;01.06.2017 22:03:33
888166;163816;01.06.2017 10:16:57
888170;165826;05.06.2017 20:22:11
888181;165458;04.06.2017 21:34:56
888229;163560;31.05.2017 15:49:08
888247;163922;01.06.2017 14:15:09
888282;164630;02.06.2017 23:10:07
888286;184383;14.07.2017 13:15:39
888294;166739;08.06.2017 21:36:27
888301;166817;09.06.2017 07:22:45
888309;164879;03.06.2017 15:34:56
888338;165851;05.06.2017 21:44:57
888343;165457;04.06.2017 21:34:24
888360;163536;31.05.2017 15:15:43
888385;163564;31.05.2017 15:53:44
888533;184139;13.07.2017 20:46:58
888600;166834;09.06.2017 08:54:27
888656;165016;03.06.2017 20:19:20
888674;164619;02.06.2017 22:39:26
888696;167404;10.06.2017 20:19:02
888828;184836;15.07.2017 14:15:17
888903;166977;09.06.2017 14:27:20
888938;169727;16.06.2017 10:43:32
888975;166111;06.06.2017 18:49:49
889003;167413;10.06.2017 20:49:00
889028;167823;12.06.2017 12:17:50
889038;166291;07.06.2017 14:24:18
889046;166214;07.06.2017 10:14:14
889051;169883;16.06.2017 14:31:02
889086;166647;08.06.2017 17:33:57
889111;185904;18.07.2017 10:23:08
889141;168250;13.06.2017 14:14:44
889162;168821;14.06.2017 16:58:13
