,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,s,,,,,,,ChannelType,Online,,,,,,,,,,,,
??????? ?????? ?? ?????????? ???????,,,,,,,,,,,,,,,,,,,,,,,,
,?????????? ?????,?????????? ?????,% ????????????,?????????? ????????,Open rate,?????????? ??????,Click rate,CTOR,????????? ???????,% ???????? ?? ???????,????? ?? ?????????,?????????? ??????? ?? ?????????,??????? ??? ?? ?????????,????????? ? ??????,,,,,,,,,,
,"663,856","655,830",98.79%,"115,402",17.60%,"20,911",3.19%,18.12%,958,0.15%,"8,186,642","1,956","4,185",0.60%,, ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
????? ??????,Online,,,,,,,,,,,,,,,,,,,,,,,
?????? ?? ?????? ????????,,,,,,,,,,,,,,,,,,,,,,,,
?????,????????,???,???? ?????? ????????,???????? ????????,?????,???? ??????,?????? ?? ?????,?????????? ?????,?????????? ?????,% ????????????,?????????? ????????,Open rate,?????????? ??????,Click rate,CTOR  ,????????? ???????,% ???????? ?? ???????,????? ?? ?????????,?????????? ??????? ?? ?????????,??????? ??? ?? ?????????,????????? ? ??????,????? ?? ??????????,,
